64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
3904
# a b m n r rhoa
1 4 2 5 2.84153955 7.141567820131864
1 4 3 6 -0.745561162 11.711247346705374
1 4 5 8 -1.42488254 6.963289697610341
1 4 6 9 -0.417782591 5.833345416370247
1 4 7 10 -0.179722919 5.0815458181090145
1 4 8 11 -0.095944107 4.688713582100068
1 4 9 12 -0.056733996 4.356858123258489
1 4 10 13 -0.036322984 4.108032708870962
1 4 11 14 -0.024702914 3.9234393756467227
1 4 12 15 -0.017603418 3.7851672776435796
1 4 13 16 -0.012836004 3.6292946281064227
1 4 14 17 -0.009835164 3.570444680891209
1 4 15 18 -0.007873746 3.5977286988988975
1 4 16 19 -0.006115773 3.458388155008107
1 4 17 20 -0.004847457 3.343553439154429
1 4 18 21 -0.004023126 3.342319438315268
1 4 19 22 -0.003352585 3.3177237680586247
1 4 20 23 -0.002920962 3.409569434610688
1 4 21 24 -0.002497504 3.4087120283511756
1 4 22 25 -0.002126604 3.3671854457613213
1 4 23 26 -0.001786933 3.259131825885423
1 4 24 27 -0.001570009 3.277258429778864
1 4 25 28 -0.001392396 3.307001829632782
1 4 26 29 -0.001254445 3.3717061124177774
1 4 27 30 -0.001113574 3.370510092037526
1 4 28 31 -0.00100232 3.4007916404298237
1 4 29 32 -0.000906976 3.435048683735253
1 4 30 33 -0.000839327 3.534515461365866
1 4 31 34 -0.0007502 3.4998818709537316
1 4 32 35 -0.000688129 3.544425648901928
1 4 33 36 -0.000597666 3.3880665984424994
1 4 34 37 -0.000549541 3.4183392575238982
1 4 35 38 -0.000486633 3.3122358915924943
